index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
108,628300,2026-01-07 15:44:58,0.0,5,7.058,0.0,0.0,0.0,24.3,3.0,3.0,1024,1024,1024,1024,0,0,0,0,37,4.947,77.18,35.761156,P-GPS,,10.9
109,628400,2026-01-07 15:44:59,0.0,5,7.058,0.0,0.0,0.0,24.3,2.8,3.1,1024,1024,1024,1024,0,0,0,0,37,4.947,77.18,35.761156,P-GPS,,10.9
110,628500,2026-01-07 15:44:59,0.0,5,7.058,0.0,0.0,0.0,24.3,2.9,3.0,1024,1024,1024,1024,0,0,0,0,37,4.947,77.18,35.761156,P-GPS,,10.9
111,628600,2026-01-07 15:44:59,0.0,5,7.058,0.0,0.0,0.0,24.3,2.9,2.9,1024,1024,1024,1024,0,0,0,0,37,4.947,77.18,35.761156,P-GPS,,10.9
112,628700,2026-01-07 15:44:59,0.0,5,7.058,0.0,0.0,0.0,24.3,2.8,2.8,1024,1024,1024,1024,0,0,0,0,37,4.947,77.18,35.761156,P-GPS,,10.9
113,628800,2026-01-07 15:44:59,0.0,5,7.058,0.0,0.0,0.0,24.2,2.7,2.9,1024,1024,1024,1024,0,0,0,0,37,4.947,77.18,35.433072,P-GPS,,10.8
114,628900,2026-01-07 15:44:59,0.0,5,7.011,0.0,0.0,0.0,24.3,2.5,3.0,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.433072,P-GPS,,10.8
115,629000,2026-01-07 15:44:59,0.0,5,7.011,0.0,0.0,0.0,24.3,2.1,2.9,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.433072,P-GPS,,10.8
116,629100,2026-01-07 15:44:59,0.0,5,7.011,0.0,0.0,0.0,24.3,1.6,2.5,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.433072,P-GPS,,10.8
117,629200,2026-01-07 15:44:59,0.0,5,7.011,0.0,0.0,0.0,24.4,1.7,2.5,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.433072,P-GPS,,10.8
118,629300,2026-01-07 15:45:00,0.0,5,7.011,0.0,0.0,0.0,24.4,1.8,2.3,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.433072,P-GPS,,10.8
119,629400,2026-01-07 15:45:00,0.0,5,7.011,0.0,0.0,0.0,24.4,1.8,2.1,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.433072,P-GPS,,10.8
120,629500,2026-01-07 15:45:00,0.0,5,7.011,0.0,0.0,0.0,24.3,1.7,1.9,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.433072,P-GPS,,10.8
121,629600,2026-01-07 15:45:00,0.0,5,7.011,0.0,0.0,0.0,24.3,1.8,1.9,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.433072,P-GPS,,10.8
122,629700,2026-01-07 15:45:00,0.0,5,7.011,0.0,0.0,0.0,24.3,1.9,1.7,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.104988,P-GPS,,10.7
123,629800,2026-01-07 15:45:00,0.0,5,7.011,0.0,0.0,0.0,24.3,1.9,1.7,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.104988,P-GPS,,10.7
124,629900,2026-01-07 15:45:00,0.0,5,7.011,0.0,0.0,0.0,24.4,1.9,1.8,1024,1024,1024,1024,0,0,0,0,37,4.924,77.18,35.104988,P-GPS,,10.7
125,630000,2026-01-07 15:45:00,0.0,5,7.012,0.0,0.0,0.0,24.4,1.9,1.9,1024,1024,1024,1024,0,0,0,0,37,4.975,77.18,35.104988,P-GPS,,10.7
126,630100,2026-01-07 15:45:00,0.0,5,7.012,0.0,0.0,0.0,24.3,2.1,1.9,1024,1024,1024,1024,0,0,0,0,37,4.975,77.18,35.104988,P-GPS,,10.7
127,630200,2026-01-07 15:45:00,0.0,5,7.012,0.0,0.0,0.0,24.4,2.1,1.8,1024,1024,1024,1024,0,0,0,0,37,4.975,77.18,35.104988,P-GPS,,10.7
128,630300,2026-01-07 15:45:00,0.0,5,7.012,0.0,0.0,0.0,24.4,2.4,1.9,1024,1024,1024,1024,0,0,0,0,37,4.975,77.18,35.104988,P-GPS,,10.7
129,630400,2026-01-07 15:45:01,0.0,5,7.012,0.0,0.0,0.0,24.3,2.5,1.7,1024,1024,1024,1024,0,0,0,0,37,4.975,77.18,35.104988,P-GPS,,10.7
